#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
ASRock B360M PRO4-1.jpg,213490,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[217,217,249,279,293,304,304,217],""all_points_y"":[119,221,241,239,224,220,117,119]}","{""name"":""CPU""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[360,361,427,428,360],""all_points_y"":[19,291,292,17,19]}","{""name"":""RAM""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[109,109,306,308,109],""all_points_y"":[316,333,335,312,316]}","{""name"":""GPU""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[110,110,308,309,110],""all_points_y"":[432,448,451,433,432]}","{""name"":""GPU""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[122,122,290,290,122],""all_points_y"":[266,301,308,264,266]}","{""name"":""SSD""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,5,"{""name"":""rect"",""x"":318,""y"":399,""width"":165,""height"":49}","{""name"":""SSD""}"
ASRock B360M PRO4-1.jpg,213490,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[29,25,8,9,26,27,493,492,29],""all_points_y"":[13,59,59,123,127,476,478,12,13]}","{""name"":""MOTHERBOARD""}"
ASRock B360M PRO4-2.jpg,586643,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[531,536,592,653,700,708,531],""all_points_y"":[250,452,485,485,446,249,250]}","{""name"":""CPU""}"
ASRock B360M PRO4-2.jpg,586643,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[814,820,953,947,814],""all_points_y"":[45,597,600,39,45]}","{""name"":""RAM""}"
ASRock B360M PRO4-2.jpg,586643,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[315,317,726,722,315],""all_points_y"":[640,673,676,631,640]}","{""name"":""GPU""}"
ASRock B360M PRO4-2.jpg,586643,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[311,310,714,712,311],""all_points_y"":[877,905,913,862,877]}","{""name"":""GPU""}"
ASRock B360M PRO4-2.jpg,586643,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[731,731,1060,1060,731],""all_points_y"":[802,894,893,806,802]}","{""name"":""SSD""}"
ASRock B360M PRO4-2.jpg,586643,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[346,682,680,338,346],""all_points_y"":[621,624,536,536,621]}","{""name"":""SSD""}"
ASRock B360M PRO4-2.jpg,586643,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[154,150,124,126,152,156,1080,1082,154],""all_points_y"":[32,130,130,259,271,962,963,39,32]}","{""name"":""MOTHERBOARD""}"
ASRock B360M PRO4-3.jpg,358001,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[517,514,583,638,694,694,524,517],""all_points_y"":[397,652,711,708,661,397,389,397]}","{""name"":""CPU""}"
ASRock B360M PRO4-3.jpg,358001,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[794,799,950,948,797,791,792,794],""all_points_y"":[148,818,842,140,141,141,140,148]}","{""name"":""RAM""}"
ASRock B360M PRO4-3.jpg,358001,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[283,279,744,742,288,283],""all_points_y"":[921,958,965,907,916,921]}","{""name"":""GPU""}"
ASRock B360M PRO4-3.jpg,358001,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[314,315,742,739,314],""all_points_y"":[1246,1287,1281,1221,1246]}","{""name"":""GPU""}"
ASRock B360M PRO4-3.jpg,358001,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[679,407,390,676,679],""all_points_y"":[784,791,872,891,784]}","{""name"":""SSD""}"
ASRock B360M PRO4-3.jpg,358001,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[1036,732,734,1038,1036],""all_points_y"":[1152,1151,1230,1247,1152]}","{""name"":""SSD""}"
ASRock B360M PRO4-3.jpg,358001,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[96,86,70,64,80,93,1043,1050,1076,1075,1048,1040,1058,1071,1076,1053,1040,96],""all_points_y"":[51,183,208,334,379,1374,1342,1137,1135,983,967,853,852,656,417,412,143,51]}","{""name"":""MOTHERBOARD""}"
ASRock B360M PRO4-4.jpg,11354,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[95,96,107,120,132,133,95],""all_points_y"":[56,99,108,110,99,53,56]}","{""name"":""CPU""}"
ASRock B360M PRO4-4.jpg,11354,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[157,154,186,185,157],""all_points_y"":[13,128,126,11,13]}","{""name"":""RAM""}"
ASRock B360M PRO4-4.jpg,11354,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[48,48,136,135,48],""all_points_y"":[141,148,148,138,141]}","{""name"":""GPU""}"
ASRock B360M PRO4-4.jpg,11354,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[50,49,133,133,50],""all_points_y"":[191,198,199,189,191]}","{""name"":""GPU""}"
ASRock B360M PRO4-4.jpg,11354,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[129,127,65,65,129],""all_points_y"":[134,118,120,136,134]}","{""name"":""SSD""}"
ASRock B360M PRO4-4.jpg,11354,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[207,136,137,208,207],""all_points_y"":[177,175,191,193,177]}","{""name"":""SSD""}"
ASRock B360M PRO4-4.jpg,11354,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[13,13,7,8,11,13,11,211,213,13],""all_points_y"":[12,30,32,59,62,105,209,211,9,12]}","{""name"":""MOTHERBOARD""}"
ASRock B360M PRO4-5.jpg,121360,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[380,342,366,398,428,474,380],""all_points_y"":[187,282,310,314,302,206,187]}","{""name"":""CPU""}"
ASRock B360M PRO4-5.jpg,121360,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[565,447,524,636,565],""all_points_y"":[120,377,400,139,120]}","{""name"":""RAM""}"
ASRock B360M PRO4-5.jpg,121360,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[188,183,381,395,188],""all_points_y"":[342,363,407,385,342]}","{""name"":""GPU""}"
ASRock B360M PRO4-5.jpg,121360,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[139,134,323,331,139],""all_points_y"":[459,475,526,506,459]}","{""name"":""GPU""}"
ASRock B360M PRO4-5.jpg,121360,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[220,403,386,204,220],""all_points_y"":[316,340,378,337,316]}","{""name"":""SSD""}"
ASRock B360M PRO4-5.jpg,121360,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[539,367,353,526,539],""all_points_y"":[529,487,521,574,529]}","{""name"":""SSD""}"
ASRock B360M PRO4-5.jpg,121360,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[211,207,100,117,47,523,717,288,276,211],""all_points_y"":[47,43,295,330,485,618,145,60,44,47]}","{""name"":""MOTHERBOARD""}"
ASRock B360M PRO4-6.jpg,12852,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[86,86,94,108,117,119,86],""all_points_y"":[65,114,125,126,117,63,65]}","{""name"":""CPU""}"
ASRock B360M PRO4-6.jpg,12852,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[137,134,163,165,173,173,137],""all_points_y"":[19,145,148,28,24,21,19]}","{""name"":""RAM""}"
ASRock B360M PRO4-6.jpg,12852,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[47,126,127,46,47],""all_points_y"":[169,174,161,162,169]}","{""name"":""GPU""}"
ASRock B360M PRO4-6.jpg,12852,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[45,45,125,127,45],""all_points_y"":[226,231,231,221,226]}","{""name"":""GPU""}"
ASRock B360M PRO4-6.jpg,12852,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[61,115,115,65,61],""all_points_y"":[155,159,137,138,155]}","{""name"":""SSD""}"
ASRock B360M PRO4-6.jpg,12852,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[180,182,122,123,180],""all_points_y"":[220,205,207,220,220]}","{""name"":""SSD""}"
ASRock B360M PRO4-6.jpg,12852,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[6,3,3,4,6,183,186,189,182,182,186,185,187,187,185,179,6],""all_points_y"":[1,30,55,57,249,244,216,174,174,152,150,118,118,69,69,15,1]}","{""name"":""MOTHERBOARD""}"
ASRock B360M PRO4-7.jpg,1438412,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[476,472,538,598,646,654,656,476,476],""all_points_y"":[302,508,544,546,508,512,304,310,302]}","{""name"":""CPU""}"
ASRock B360M PRO4-7.jpg,1438412,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[764,778,916,916,764],""all_points_y"":[76,658,666,76,76]}","{""name"":""RAM""}"
ASRock B360M PRO4-7.jpg,1438412,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[660,246,246,662,660,660],""all_points_y"":[686,706,736,742,680,686]}","{""name"":""GPU""}"
