#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
MSI MPG Z390 EDGE-1.jpg,831070,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[439,437,470,500,535,538,439],""all_points_y"":[209,342,356,356,342,209,209]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-1.jpg,831070,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[597,598,671,672,597],""all_points_y"":[103,430,430,99,103]}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-1.jpg,831070,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[299,299,553,553,299],""all_points_y"":[412,461,460,409,412]}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-1.jpg,831070,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[303,303,501,500,303],""all_points_y"":[490,476,474,495,490]}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-1.jpg,831070,"{}",7,4,"{""name"":""rect"",""x"":364,""y"":637,""width"":251,""height"":51}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-1.jpg,831070,"{}",7,5,"{""name"":""rect"",""x"":300,""y"":610,""width"":201,""height"":15}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-1.jpg,831070,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[191,211,742,742,563,554,409,391,270,243,191],""all_points_y"":[77,752,749,84,84,66,70,82,86,64,77]}","{""Name"":""MOTHERBOARD""}"
MSI MPG Z390 EDGE-2.jpg,59535,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[281,283,328,361,399,403,281],""all_points_y"":[144,285,309,308,287,143,144]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-2.jpg,59535,"{}",5,1,"{""name"":""rect"",""x"":478,""y"":26,""width"":47,""height"":395}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-2.jpg,59535,"{}",5,2,"{""name"":""rect"",""x"":203,""y"":362,""width"":240,""height"":66}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-2.jpg,59535,"{}",5,3,"{""name"":""rect"",""x"":218,""y"":447,""width"":249,""height"":24}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-2.jpg,59535,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[96,569,563,89,96],""all_points_y"":[15,13,477,476,15]}","{""Name"":""MOTHERBOARD""}"
MSI MPG Z390 EDGE-3.jpg,549056,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[1084,1150,1226,1305,1382,1330,1084],""all_points_y"":[634,1018,1087,1094,1032,682,634]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-3.jpg,549056,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[1417,1593,1757,1574,1417],""all_points_y"":[471,1346,1343,496,471]}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-3.jpg,549056,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[769,796,1527,1492,769],""all_points_y"":[1226,1375,1409,1264,1226]}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-3.jpg,549056,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[869,876,1426,1412,869],""all_points_y"":[1413,1465,1507,1448,1413]}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-3.jpg,549056,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[946,956,1505,1496,946],""all_points_y"":[1893,1953,1948,1888,1893]}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-3.jpg,549056,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[1136,1157,1818,1783,1136],""all_points_y"":[2029,2185,2143,1994,2029]}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-3.jpg,549056,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[346,686,2119,1676,346],""all_points_y"":[104,2486,2368,409,104]}","{""Name"":""MOTHERBOARD""}"
MSI MPG Z390 EDGE-4.jpg,90365,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[435,437,471,502,535,540,435],""all_points_y"":[204,337,357,356,340,206,204]}","{""Name"":""CPU""}"
MSI MPG Z390 EDGE-4.jpg,90365,"{}",7,1,"{""name"":""rect"",""x"":592,""y"":110,""width"":82,""height"":323}","{""Name"":""RAM""}"
MSI MPG Z390 EDGE-4.jpg,90365,"{}",7,2,"{""name"":""rect"",""x"":299,""y"":411,""width"":262,""height"":53}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-4.jpg,90365,"{}",7,3,"{""name"":""rect"",""x"":303,""y"":474,""width"":213,""height"":16}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-4.jpg,90365,"{}",7,4,"{""name"":""rect"",""x"":299,""y"":609,""width"":219,""height"":15}","{""Name"":""GPU""}"
MSI MPG Z390 EDGE-4.jpg,90365,"{}",7,5,"{""name"":""rect"",""x"":365,""y"":636,""width"":254,""height"":59}","{""Name"":""SSD""}"
MSI MPG Z390 EDGE-4.jpg,90365,"{}",7,6,"{""name"":""rect"",""x"":191,""y"":64,""width"":549,""height"":683}","{""Name"":""MOTHERBOARD""}"
